# BEGIN DUMP Mon Nov 19 13:47:24 2001
ARTS,Arts and Entertainment,0,"Arts and Entertainment"
BIRTHS,Births,40,"Births"
COMP,Computing,0,"Computing"
DEATHS,Deaths,30,"Deaths"
EVENTS,Events,50,"Events"
FILMS,Films,0,"Films"
MUSIC,Music,0,"Music"
NOBELS,Nobel Prizes,20,"<a href="http://www.wikipedia.com/wiki/Nobel_Prize">Nobel Prizes</a>"
SCI,Science,0,"Science"
SPORTS,Sports,0,"Sports"
TECH,Tech,0,"Tech"
UNK,Miscellaneous,0,"Miscellaneous"
# END DUMP - 12 records
